% year         ti          H
% ----------------------------
  1954          1          13    
  1955          2          27    
  1956          3          26    
  1957          4          44    
  1958          5          30    
  1959          6          39    
  1960          7          40    
  1961          8          34    
  1962          9          45    
  1963         10          44    
  1964         11          24    
  1965         12          32    
  1966         13          44    
  1967         14          39    
  1968         15          29    
  1969         16          44    
  1970         17          38    
  1971         18          47    
  1972         19          34    
  1973         20          40    
