% air.dat - air density versus height
%
% generated by the atm function:  
%   h = 0:2:40;
%   rho = atm(h,'g');
%
%   h     rho
% (km)  (kg/m^3)     
%---------------
    0   1.224999
    2   1.006553
    4   0.819346
    6   0.660111
    8   0.525786
   10   0.413510
   12   0.311938
   14   0.227856
   16   0.166471
   18   0.121647
   20   0.088910
   22   0.064510
   24   0.046938
   26   0.034257
   28   0.025076
   30   0.018410
   32   0.013555
   34   0.009887
   36   0.007258
   38   0.005367
   40   0.003996
