% source: http://en.wikipedia.org/wiki/Us_population
%
% US population in millions
%
%  ti       yi
% -------------
  1790     3.929
  1800     5.237
  1810     7.240
  1820     9.638
  1830    12.866
  1840    17.069
  1850    23.192
  1860    31.443
  1870    38.558
  1880    49.371
  1890    62.980
  1900    76.212
  1910    92.229
  1920   106.022
  1930   123.202
  1940   132.165
  1950   151.326
  1960   179.323
  1970   203.212
  1980   226.546
  1990   248.710
  2000 	 281.422
  2010 	 308.746
