% worldgdp.dat - World GDP
%
% Angus Maddison, Historical Statistics of the World Economy:  1-2008 AD
%
% http://www.ggdc.net/maddison/Historical_Statistics/horizontal-file_02-2010.xls
% http://www.ggdc.net/maddison/oriindex.htm
%
%   year   trillions (1990 international dollars)
%  ----------------------------------------------
    1950   5.335860
    1951   5.649957
    1952   5.911278
    1953   6.208987
    1954   6.421224
    1955   6.830521
    1956   7.151719
    1957   7.423896
    1958   7.662286
    1959   8.013450
    1960   8.432822
    1961   8.725317
    1962   9.136466
    1963   9.533552
    1964  10.224886
    1965  10.760252
    1966  11.346932
    1967  11.769155
    1968  12.416761
    1969  13.101913
    1970  13.765940
    1971  14.336492
    1972  15.018417
    1973  16.015152
    1974  16.387996
    1975  16.637925
    1976  17.449530
    1977  18.157093
    1978  18.955430
    1979  19.633163
    1980  20.029995
    1981  20.422612
    1982  20.648355
    1983  21.235635
    1984  22.204271
    1985  22.969599
    1986  23.781918
    1987  24.693769
    1988  25.753178
    1989  26.576359
    1990  27.134084
    1991  27.494233
    1992  28.077301
    1993  28.693574
    1994  29.697950
    1995  30.942239
    1996  31.990498
    1997  33.241788
    1998  33.803487
    1999  34.997327
    2000  36.688285
    2001  37.739365
    2002  39.021274
    2003  40.809563
    2004  42.950182
    2005  44.982587
    2006  47.340576
    2007  49.411106
    2008  50.973935


