% World population - UN projections to 2100
% source: http://esa.un.org/wpp/unpp/panel_population.htm
%
%    year  billions
%  ----------------
     1950   2.53  
     1955   2.76
     1960   3.03
     1965   3.33
     1970   3.69
     1975   4.07
     1980   4.45
     1985   4.86
     1990   5.32
     1995   5.74
     2000   6.13
     2005   6.51
     2010   6.92
     2015   7.32
     2020   7.72
     2025   8.08
     2030   8.42
     2035   8.74
     2040   9.04
     2045   9.31
     2050   9.55
     2055   9.77
     2060   9.96
     2065  10.13
     2070  10.28
     2075  10.41
     2080  10.52
     2085  10.63
     2090  10.72
     2095  10.79
     2100  10.85


